State,School district,LEAID,"Total number of  grade 8 students",Number of grade 8 students enrolled in Algebra I,Percentage of grade 8 students enrolled in Algebra I 
NV,DOUGLAS COUNTY SCHOOL DISTRICT,3200090,496,133,26.81451613
NV,ELKO COUNTY SCHOOL DISTRICT,3200120,704,64,9.090909091
NV,ESMERALDA COUNTY SCHOOL DISTRICT,3200150,11,0,0
NV,EUREKA COUNTY SCHOOL DISTRICT,3200180,10,4,40
NV,HUMBOLDT COUNTY SCHOOL DISTRICT,3200210,269,48,17.84386617
NV,LANDER COUNTY SCHOOL DISTRICT,3200240,69,23,33.33333333
NV,LINCOLN COUNTY SCHOOL DISTRICT,3200270,64,26,40.625
NV,LYON COUNTY SCHOOL DISTRICT,3200300,665,116,17.44360902
NV,MINERAL COUNTY SCHOOL DISTRICT,3200330,37,0,0
NV,NYE COUNTY SCHOOL DISTRICT,3200360,410,9,2.195121951
NV,CARSON CITY SCHOOL DISTRICT,3200390,557,151,27.10951526
NV,PERSHING COUNTY SCHOOL DISTRICT,3200420,51,9,17.64705882
NV,STOREY COUNTY SCHOOL DISTRICT,3200450,25,11,44
NV,WASHOE COUNTY SCHOOL DISTRICT,3200480,5050,1374,27.20792079
NV,WHITE PINE COUNTY SCHOOL DISTRICT,3200510,88,13,14.77272727
NH,EXETER REGION COOP SCHOOL DISTRICT,3300017,422,136,32.22748815
NH,GORHAM RANDOLPH SHELBURNE COOP SCHOOL DISTRICT,3300035,39,0,0
NH,MILTON SCHOOL DISTRICT,3300616,42,11,26.19047619
NH,ALLENSTOWN SCHOOL DISTRICT,3301380,59,0,0
NH,ALTON SCHOOL DISTRICT,3301440,50,34,68
NH,AMHERST SCHOOL DISTRICT,3301470,185,130,70.27027027
NH,ANDOVER SCHOOL DISTRICT,3301500,21,0,0
NH,ASHLAND SCHOOL DISTRICT,3301560,17,7,41.17647059
NH,AUBURN SCHOOL DISTRICT,3301590,68,21,30.88235294
NH,BARNSTEAD SCHOOL DISTRICT,3301620,66,24,36.36363636
NH,BARRINGTON SCHOOL DISTRICT,3301650,110,30,27.27272727
NH,BARTLETT SCHOOL DISTRICT,3301680,33,25,75.75757576
NH,BEDFORD SCHOOL DISTRICT,3301740,378,98,25.92592593
NH,BERLIN SCHOOL DISTRICT,3301860,93,0,0
NH,BOW SCHOOL DISTRICT,3301950,150,60,40
NH,CAMPTON SCHOOL DISTRICT,3302100,33,10,30.3030303
NH,CANDIA SCHOOL DISTRICT,3302130,39,0,0
NH,CHESTER SCHOOL DISTRICT,3302250,69,19,27.53623188
NH,CHESTERFIELD SCHOOL DISTRICT,3302280,41,0,0
NH,CHICHESTER SCHOOL DISTRICT,3302310,32,0,0
NH,CLAREMONT SCHOOL DISTRICT,3302340,129,0,0
NH,COLEBROOK SCHOOL DISTRICT,3302400,28,13,46.42857143
NH,CONCORD SCHOOL DISTRICT,3302460,281,117,41.63701068
NH,CONTOOCOOK VALLEY SCHOOL DISTRICT,3302480,170,0,0
NH,CONWAY SCHOOL DISTRICT,3302490,140,36,25.71428571
NH,CORNISH SCHOOL DISTRICT,3302520,12,0,0
NH,DEERFIELD SCHOOL DISTRICT,3302580,41,16,39.02439024
NH,DERRY SCHOOL DISTRICT,3302610,433,43,9.930715935
NH,DOVER SCHOOL DISTRICT,3302640,265,0,0
NH,DRESDEN SCHOOL DISTRICT,3302670,163,113,69.32515337
NH,EPPING SCHOOL DISTRICT,3302880,64,26,40.625
NH,EPSOM SCHOOL DISTRICT,3302910,44,16,36.36363636
NH,ERROL SCHOOL DISTRICT,3302940,1,0,0
NH,FALL MOUNTAIN REGIONAL SCHOOL DISTRICT,3302990,108,0,0
NH,FARMINGTON SCHOOL DISTRICT,3303000,78,60,76.92307692
NH,FRANKLIN SCHOOL DISTRICT,3303090,71,22,30.98591549
NH,FREMONT SCHOOL DISTRICT,3303150,62,22,35.48387097
NH,GILFORD SCHOOL DISTRICT,3303180,84,29,34.52380952
NH,GILMANTON SCHOOL DISTRICT,3303210,43,21,48.8372093
NH,GOFFSTOWN SCHOOL DISTRICT,3303240,267,59,22.09737828
NH,LEMPSTER SCHOOL DISTRICT,3303303,18,0,0
NH,GOVERNOR WENTWORTH REG SCHOOL DISTRICT,3303330,203,95,46.79802956
NH,GREENLAND SCHOOL DISTRICT,3303420,39,0,0
NH,HAMPSTEAD SCHOOL DISTRICT,3303480,98,18,18.36734694
NH,HAMPTON SCHOOL DISTRICT,3303510,115,19,16.52173913
NH,HAMPTON FALLS SCHOOL DISTRICT,3303540,25,0,0
NH,HAVERHILL COOPERATIVE SCHOOL DISTRICT,3303660,41,0,0
NH,HENNIKER SCHOOL DISTRICT,3303690,40,0,0
NH,HILLSBORO DEERING COOP SCHOOL DISTRICT,3303750,89,20,22.47191011
NH,HINSDALE SCHOOL DISTRICT,3303780,36,2,5.555555556
NH,HOLDERNESS SCHOOL DISTRICT,3303810,20,0,0
NH,HOLLIS/BROOKLINE COOP SCHOOL DISTRICT,3303850,198,87,43.93939394
NH,HOOKSETT SCHOOL DISTRICT,3303870,174,21,12.06896552
NH,HOPKINTON SCHOOL DISTRICT,3303900,74,28,37.83783784
NH,HUDSON SCHOOL DISTRICT,3303930,297,120,40.4040404
NH,INTER-LAKES SCHOOL DISTRICT,3303960,82,69,84.14634146
NH,JAFFREY-RINDGE COOP SCHOOL DISTRICT,3304030,97,19,19.58762887
NH,KEARSARGE REGIONAL SCHOOL DISTRICT,3304040,152,36,23.68421053
NH,KEENE SCHOOL DISTRICT,3304050,239,0,0
NH,LACONIA SCHOOL DISTRICT,3304140,140,24,17.14285714
NH,LEBANON SCHOOL DISTRICT,3304230,120,40,33.33333333
NH,LINCOLN-WOODSTOCK SCHOOL DISTRICT,3304260,26,0,0
NH,LISBON REGIONAL SCHOOL DISTRICT,3304290,25,0,0
NH,LITCHFIELD SCHOOL DISTRICT,3304350,111,45,40.54054054
NH,LITTLETON SCHOOL DISTRICT,3304380,55,0,0
NH,LONDONDERRY SCHOOL DISTRICT,3304410,337,97,28.78338279
NH,LYME SCHOOL DISTRICT,3304500,20,17,85
NH,MANCHESTER SCHOOL DISTRICT,3304590,1055,0,0
NH,MARLBOROUGH SCHOOL DISTRICT,3304620,29,0,0
NH,MASCENIC REGIONAL SCHOOL DISTRICT,3304670,91,2,2.197802198
NH,MASCOMA VALLEY REG SCHOOL DISTRICT,3304680,76,17,22.36842105
NH,MERRIMACK SCHOOL DISTRICT,3304740,300,115,38.33333333
NH,MERRIMACK VALLEY SCHOOL DISTRICT,3304760,199,25,12.56281407
NH,MILFORD SCHOOL DISTRICT,3304830,227,79,34.80176211
NH,MONADNOCK REGIONAL SCHOOL DISTRICT,3304890,109,30,27.52293578
NH,MONROE SCHOOL DISTRICT,3304920,5,5,100
NH,MOULTONBOROUGH SCHOOL DISTRICT,3304960,51,24,47.05882353
NH,NASHUA SCHOOL DISTRICT,3304980,856,165,19.27570093
NH,NEWFOUND AREA SCHOOL DISTRICT,3305220,109,25,22.93577982
NH,NEWMARKET SCHOOL DISTRICT,3305280,64,0,0
NH,NEWPORT SCHOOL DISTRICT,3305310,68,15,22.05882353
NH,NORTH HAMPTON SCHOOL DISTRICT,3305370,42,0,0
NH,NORTHUMBERLAND SCHOOL DISTRICT,3305400,32,0,0
NH,NORTHWOOD SCHOOL DISTRICT,3305430,57,22,38.59649123
NH,NOTTINGHAM SCHOOL DISTRICT,3305460,51,43,84.31372549
NH,OYSTER RIVER COOP SCHOOL DISTRICT,3305520,173,94,54.33526012
NH,PELHAM SCHOOL DISTRICT,3305550,181,70,38.67403315
NH,PEMBROKE SCHOOL DISTRICT,3305580,93,22,23.65591398
NH,PIERMONT SCHOOL DISTRICT,3305670,6,0,0
NH,PITTSBURG SCHOOL DISTRICT,3305700,3,0,0
NH,PITTSFIELD SCHOOL DISTRICT,3305730,51,10,19.60784314
NH,PLAINFIELD SCHOOL DISTRICT,3305760,33,0,0
NH,PLYMOUTH SCHOOL DISTRICT,3305790,60,30,50
NH,PORTSMOUTH SCHOOL DISTRICT,3305820,187,60,32.0855615
NH,PROFILE SCHOOL DISTRICT,3305830,30,7,23.33333333
NH,RAYMOND SCHOOL DISTRICT,3305880,102,16,15.68627451
NH,ROCHESTER SCHOOL DISTRICT,3305940,312,101,32.37179487
NH,RUMNEY SCHOOL DISTRICT,3306000,6,2,33.33333333
NH,RYE SCHOOL DISTRICT,3306030,55,16,29.09090909
NH,SALEM SCHOOL DISTRICT,3306060,296,70,23.64864865
NH,SANBORN REGIONAL SCHOOL DISTRICT,3306080,136,22,16.17647059
NH,SEABROOK SCHOOL DISTRICT,3306150,70,0,0
NH,SHAKER REGIONAL SCHOOL DISTRICT,3306180,90,22,24.44444444
NH,SOMERSWORTH SCHOOL DISTRICT,3306240,141,0,0
NH,SOUTH HAMPTON SCHOOL DISTRICT,3306270,5,0,0
NH,STEWARTSTOWN SCHOOL DISTRICT,3306360,6,0,0
NH,STRAFFORD SCHOOL DISTRICT,3306420,49,0,0
NH,STRATFORD SCHOOL DISTRICT,3306450,7,0,0
NH,SUNAPEE SCHOOL DISTRICT,3306540,40,21,52.5
NH,TAMWORTH SCHOOL DISTRICT,3306600,23,16,69.56521739
NH,THORNTON SCHOOL DISTRICT,3306660,28,4,14.28571429
NH,TIMBERLANE REGIONAL SCHOOL DISTRICT,3306720,311,37,11.89710611
NH,UNITY SCHOOL DISTRICT,3306750,21,0,0
NH,WAKEFIELD SCHOOL DISTRICT,3306780,42,16,38.0952381
NH,WARREN SCHOOL DISTRICT,3306870,13,0,0
NH,WATERVILLE VALLEY SCHOOL DISTRICT,3306910,6,5,83.33333333
NH,WEARE SCHOOL DISTRICT,3306930,118,46,38.98305085
NH,WENTWORTH SCHOOL DISTRICT,3306990,5,4,80
NH,WESTMORELAND SCHOOL DISTRICT,3307020,21,0,0
NH,WHITE MOUNTAIN REGIONAL SCHOOL DISTRICT,3307050,91,0,0
NH,WINCHESTER SCHOOL DISTRICT,3307140,40,0,0
NH,WINDHAM SCHOOL DISTRICT,3307170,249,62,24.89959839
NH,WINNISQUAM REGIONAL SCHOOL DISTRICT,3307300,112,43,38.39285714
NJ,THE SCHOOL DISTRICT OF THE CHATHAMS,3400004,325,300,92.30769231
NJ,MORRIS-UNION JOINTURE COMMISSON SCHOOL DISTRICT,3400005,2,0,0
NJ,SOUTH  BERGEN JOINTURE COMMISSION SCHOOL DISTRICT,3400007,2,0,0
NJ,GREAT MEADOWS REGIONAL SCHOOL DISTRICT,3400008,82,25,30.48780488
NJ,SOMERSET HILLS REGIONAL SCHOOL DISTRICT,3400009,151,0,0
NJ,ABSECON PUBLIC SCHOOLS DISTRICT,3400660,83,0,0
NJ,ALEXANDRIA TOWNSHIP SCHOOL DISTRICT,3400690,52,20,38.46153846
NJ,ALLAMUCHY TOWNSHIP SCHOOL DISTRICT,3400720,41,17,41.46341463
NJ,ALLENDALE PUBLIC SCHOOL DISTRICT,3400750,110,76,69.09090909
NJ,SOUTH HUNTERDON REGIONAL SCHOOL DISTRICT,3400769,68,25,36.76470588
NJ,MASTERY SCHOOLS OF CAMDEN INC.,3400772,90,0,0
NJ,KIPP: COOPER NORCROSS A NEW JERSEY NONPROFIT CORPORATION,3400777,62,0,0
NJ,ALLOWAY TWP SCHOOL DISTRICT,3400810,47,16,34.04255319
NJ,ALPHA BOROUGH SCHOOL DISTRICT,3400840,29,12,41.37931034
NJ,ALPINE ELEMENTARY SCHOOL DISTRICT,3400870,14,8,57.14285714
NJ,ANDOVER REGIONAL SCHOOL DISTRICT,3400900,45,0,0
NJ,ASBURY PARK SCHOOL DISTRICT,3400930,92,0,0
NJ,ATLANTIC CITY PUBLIC SCHOOLS,3400960,465,117,25.16129032
NJ,AUDUBON PUBLIC SCHOOL DISRICT,3401050,87,21,24.13793103
NJ,AVALON SCHOOL DISTRICT,3401110,13,4,30.76923077
NJ,AVON BORO SCHOOL DISTRICT,3401140,17,13,76.47058824
NJ,BARRINGTON SCHOOL DISTRICT,3401170,67,44,65.67164179
NJ,BAY HEAD BOROUGH SCHOOL DISTRICT,3401230,20,12,60
NJ,BAYONNE SCHOOL DISTRICT,3401260,673,290,43.09063893
NJ,BEDMINSTER TOWNSHIP PUBLIC SCHOOL,3401320,48,30,62.5
NJ,BELLEVILLE PUBLIC SCHOOLS,3401350,352,65,18.46590909
NJ,BELLMAWR PUBLIC SCHOOL DISTRICT,3401380,104,28,26.92307692
NJ,BELMAR ELEMENTARY SCHOOL DISTRICT,3401410,55,23,41.81818182
NJ,BELVIDERE SCHOOL DISTRICT,3401440,37,0,0
NJ,BERGEN COUNTY SPECIAL SERVICES SCHOOL DISTRICT,3401450,20,0,0
NJ,BERGENFIELD PUBLIC SCHOOL DISTRICT,3401500,264,63,23.86363636
NJ,BERKELEY HEIGHTS SCHOOL DISTRICT,3401530,208,89,42.78846154
NJ,BERLIN BOROUGH SCHOOL DISTRICT,3401590,103,56,54.36893204
NJ,BERLIN TOWNSHIP SCHOOL DISTRICT,3401620,60,18,30
NJ,BERNARDS TOWNSHIP SCHOOL DISTRICT,3401650,454,261,57.48898678
NJ,BETHLEHEM TOWNSHIP SCHOOL DISTRICT,3401710,57,18,31.57894737
NJ,BEVERLY CITY SCHOOL,3401740,14,13,92.85714286
NJ,BLOOMFIELD BOARD OF EDUCATION,3401830,428,100,23.36448598
NJ,BLOOMINGDALE SCHOOL DISTRICT,3401860,76,15,19.73684211
NJ,BLOOMSBURY SCHOOL DISTRICT,3401890,10,0,0
NJ,BOGOTA PUBLIC SCHOOL DISTRICT,3401920,88,75,85.22727273
NJ,BOONTON TOWN SCHOOL DISTRICT,3401950,63,40,63.49206349
NJ,BORDENTOWN REGIONAL SCHOOL DISTRICT,3402030,210,66,31.42857143
NJ,BOUND BROOK SCHOOL DISTRICT,3402100,109,59,54.12844037
NJ,BRADLEY BEACH ELEMENTARY SCHOOL DISTRICT,3402130,31,14,45.16129032
NJ,BRANCHBURG TOWNSHIP SCHOOL DISTRICT,3402160,175,73,41.71428571
NJ,BRICK TOWNSHIP PUBLIC SCHOOL DISTRICT,3402220,636,181,28.4591195
NJ,BRIDGETON CITY SCHOOL DISTRICT,3402250,330,19,5.757575758
NJ,BRIDGEWATER-RARITAN REGIONAL SCHOOL DISTRICT,3402280,681,183,26.8722467
NJ,BRIELLE BORO SCHOOL DISTRICT,3402310,65,22,33.84615385
NJ,BRIGANTINE PUBLIC SCHOOLS,3402340,75,35,46.66666667
NJ,BROOKLAWN PUBLIC SCHOOL DISTRICT,3402370,34,0,0
NJ,BUENA REGIONAL SCHOOL DISTRICT,3402400,147,31,21.08843537
NJ,BURLINGTON CITY PUBLIC SCHOOL DISTRICT,3402430,94,23,24.46808511
NJ,BURLINGTON COUNTY SPECIAL SERVICES SCHOOL DISTRICT,3402440,19,0,0
NJ,BURLINGTON TOWNSHIP BOARD OF EDUCATION,3402460,347,0,0
NJ,BUTLER PUBLIC SCHOOL DISTRICT,3402520,67,24,35.82089552
NJ,BYRAM TOWNSHIP SCHOOL DISTRICT,3402550,115,40,34.7826087
NJ,CALDWELL-WEST CALDWELL SCHOOL DISTRICT,3402580,198,64,32.32323232
NJ,CALIFON BOROUGH SCHOOL DISTRICT,3402610,13,7,53.84615385
NJ,CAMDEN CITY PUBLIC SCHOOLS,3402640,531,0,0
NJ,CAPE MAY COUNTY SPECIAL SERVICES SCHOOL DISTRICT,3402740,6,0,0
NJ,CARLSTADT PUBLIC SCHOOL DISTRICT,3402790,74,32,43.24324324
NJ,CARTERET PUBLIC SCHOOL DISTRICT,3402820,299,82,27.42474916
NJ,CEDAR GROVE TOWNSHIP SCHOOL DISTRICT,3402850,129,52,40.31007752
NJ,CENTRAL REGIONAL SCHOOL DISTRICT,3402910,314,43,13.69426752
NJ,CHERRY HILL SCHOOL DISTRICT,3403000,874,365,41.76201373
NJ,CHESTER SCHOOL DISTRICT,3403060,142,48,33.8028169
NJ,CINNAMINSON TOWNSHIP PUBLIC SCHOOLS,3403120,187,59,31.55080214
NJ,CLARK TOWNSHIP PUBLIC SCHOOLS,3403150,162,45,27.77777778
NJ,CLAYTON PUBLIC SCHOOL DISTRICT,3403180,98,39,39.79591837
NJ,CLEARVIEW REGIONAL HIGH SCHOOL DISTRICT,3403210,398,69,17.33668342
NJ,CLEMENTON ELEMENTARY SCHOOL DISTRICT,3403240,32,17,53.125
NJ,CLIFFSIDE PARK SCHOOL DISTRICT,3403270,165,26,15.75757576
NJ,CLIFTON PUBLIC SCHOOL DISTRICT,3403300,758,99,13.06068602
NJ,CLINTON-GLEN GARDNER SCHOOL DISTRICT,3403330,44,35,79.54545455
NJ,CLINTON TOWNSHIP SCHOOL DISTRICT,3403360,218,204,93.57798165
NJ,CLOSTER PUBLIC SCHOOL DISTRICT,3403390,137,59,43.06569343
NJ,COLLINGSWOOD PUBLIC SCHOOL DISTRICT,3403420,119,44,36.97478992
NJ,COLTS NECK TOWNSHIP SCHOOL DISTRICT,3403450,135,90,66.66666667
NJ,COMMERCIAL TOWNSHIP SCHOOL DISTRICT,3403480,53,20,37.73584906
NJ,CRANBURY TOWNSHIP SCHOOL DISTRICT,3403540,76,37,48.68421053
NJ,CRANFORD PUBLIC SCHOOL DISTRICT,3403570,142,134,94.36619718
NJ,CRESSKILL PUBLIC SCHOOL DISTRICT,3403600,141,20,14.18439716
NJ,DEAL BORO SCHOOL DISTRICT,3403630,20,12,60
NJ,DEERFIELD TOWNSHIP SCHOOL DISTRICT,3403660,30,0,0
NJ,DELANCO TOWNSHIP SCHOOL DISTRICT,3403690,45,24,53.33333333
NJ,DELAWARE TOWNSHIP SCHOOL DISTRICT,3403720,50,19,38
NJ,DELRAN TOWNSHIP SCHOOL DISTRICT,3403780,215,69,32.09302326
NJ,DEMAREST SCHOOL DISTRICT,3403810,76,34,44.73684211
NJ,DENNIS TOWNSHIP SCHOOL DISTRICT,3403840,63,22,34.92063492
NJ,DENVILLE TOWNSHIP K-8 SCHOOL DISTRICT,3403870,217,79,36.40552995
NJ,DEPTFORD TOWNSHIP PUBLIC SCHOOL DISTRICT,3403900,292,65,22.26027397
NJ,DOVER PUBLIC SCHOOL DISTRICT,3403930,215,74,34.41860465
NJ,DUMONT PUBLIC SCHOOL DISTRICT,3403990,209,60,28.70813397
NJ,DUNELLEN PUBLIC SCHOOL DISTRICT,3404020,88,21,23.86363636
NJ,EAST AMWELL TOWNSHIP SCHOOL DISTRICT,3404080,50,22,44
NJ,EAST BRUNSWICK TOWNSHIP SCHOOL DISTRICT,3404110,661,470,71.10438729
NJ,EAST HANOVER TOWNSHIP SCHOOL DISTRICT,3404170,118,36,30.50847458
NJ,EAST NEWARK SCHOOL DISTRICT,3404200,21,0,0
NJ,EAST ORANGE SCHOOL DISTRICT,3404230,583,56,9.605488851
NJ,EAST RUTHERFORD SCHOOL DISTRICT,3404290,66,13,19.6969697
NJ,EAST WINDSOR REGIONAL SCHOOL DISTRICT,3404320,368,79,21.4673913
NJ,EASTAMPTON TOWNSHIP SCHOOL DISTRICT,3404350,76,0,0
NJ,EATONTOWN PUBLIC SCHOOL DISTRICT,3404410,103,27,26.21359223
NJ,EDGEWATER PARK TOWNSHIP SCHOOL DISTRICT,3404470,92,27,29.34782609
NJ,EDISON TOWNSHIP SCHOOL DISTRICT,3404500,1097,491,44.75843209
NJ,EGG HARBOR CITY SCHOOL DISTRICT,3404530,33,20,60.60606061
NJ,EGG HARBOR TOWNSHIP SCHOOL DISTRICT,3404560,631,72,11.41045959
NJ,ELIZABETH PUBLIC SCHOOLS,3404590,1074,885,82.40223464
NJ,ELMWOOD PARK SCHOOL DISTRICT,3404660,197,51,25.88832487
NJ,ELSINBORO TOWNSHIP SCHOOL DISTRICT,3404680,14,6,42.85714286
NJ,EMERSON PUBLIC SCHOOL DISTRICT,3404710,95,50,52.63157895
NJ,ENGLEWOOD PUBLIC SCHOOL DISTRICT,3404740,207,0,0
NJ,ESTELL MANOR CITY SCHOOL DISTRICT,3404860,23,5,21.73913043
NJ,EVESHAM TOWNSHIP SCHOOL DISTRICT,3404890,548,102,18.61313869
NJ,EWING TOWNSHIP SCHOOL DISTRICT,3404920,243,42,17.28395062
NJ,FAIR HAVEN SCHOOL DISTRICT,3404950,109,104,95.41284404
NJ,FAIR LAWN PUBLIC SCHOOL DISTRICT,3404980,371,101,27.22371968
NJ,FAIRFIELD TOWNSHIP SCHOOL DISTRICT,3405040,46,14,30.43478261
NJ,FAIRVIEW PUBLIC SCHOOL DISTRICT,3405070,125,0,0
NJ,FARMINGDALE PUBLIC SCHOOL DISTRICT,3405130,22,6,27.27272727
NJ,FLEMINGTON-RARITAN REGIONAL SCHOOL DISTRICT,3405190,389,169,43.44473008
NJ,FLORENCE TOWNSHIP SCHOOL DISTRICT,3405220,116,43,37.06896552
NJ,FLORHAM PARK PUBLIC SCHOOLS,3405250,119,59,49.57983193
NJ,FOLSOM BOROUGH SCHOOL DISTRICT,3405280,49,21,42.85714286
NJ,FORT LEE SCHOOL DISTRICT,3405310,247,211,85.42510121
NJ,FRANKFORD TOWNSHIP CONSOLIDATED SCHOOL DISTRICT,3405340,68,47,69.11764706
NJ,FRANKLIN LAKES  SCHOOL DISTRICT,3405370,133,56,42.10526316
NJ,FRANKLIN BOROUGH SCHOOL DISTRICT,3405400,48,12,25
NJ,FRANKLIN TOWNSHIP SCHOOL DISTRICT,3405460,34,10,29.41176471
NJ,FRANKLIN TOWNSHIP PUBLIC SCHOOL DISTRICT,3405490,497,102,20.52313883
NJ,FREEHOLD BOROUGH SCHOOL DISTRICT,3405580,149,28,18.79194631
NJ,FREEHOLD TOWNSHIP SCHOOL DISTRICT,3405640,472,237,50.21186441
NJ,FRENCHTOWN BOROUGH SCHOOL DISTRICT,3405700,16,7,43.75
NJ,GALLOWAY TOWNSHIP PUBLIC SCHOOLS,3405730,374,107,28.60962567
NJ,GARFIELD PUBLIC SCHOOL DISTRICT,3405760,285,49,17.19298246
NJ,GARWOOD,3405790,31,20,64.51612903
NJ,GATEWAY REGIONAL SCHOOL DISTRICT,3405820,169,159,94.08284024
NJ,GLASSBORO SCHOOL DISTRICT,3405880,120,19,15.83333333
NJ,GLEN RIDGE PUBLIC SCHOOLS,3405940,139,85,61.15107914
NJ,GLOUCESTER CITY PUBLIC SCHOOL DISTRICT,3406000,104,0,0
NJ,GLOUCESTER TOWNSHIP SCHOOL DISTRICT,3406030,777,221,28.44272844
NJ,GREEN TOWNSHIP SCHOOL DISTRICT,3406090,69,0,0
NJ,GREEN BROOK TOWNSHIP PUBLIC SCHOOL DISTRICT,3406120,121,30,24.79338843
NJ,GREENWICH TOWNSHIP SCHOOL DISTRICT,3406150,8,4,50
NJ,GREENWICH TOWNSHIP SCHOOL DISTRICT,3406180,54,12,22.22222222
NJ,GREENWICH TOWNSHIP SCHOOL DISTRICT,3406210,113,93,82.30088496
NJ,GUTTENBERG SCHOOL DISTRICT,3406240,93,20,21.50537634
NJ,HACKENSACK SCHOOL DISTRICT,3406270,354,27,7.627118644
NJ,HACKETTSTOWN PUBLIC SCHOOL DISTRICT,3406300,93,22,23.65591398
NJ,HADDON HEIGHTS SCHOOL DISTRICT,3406330,69,31,44.92753623
NJ,HADDON TOWNSHIP SCHOOL DISTRICT,3406360,120,53,44.16666667
NJ,HADDONFIELD SCHOOL DISTRICT,3406390,218,119,54.58715596
NJ,HAINESPORT TOWNSHIP SCHOOL DISTRICT,3406420,69,19,27.53623188
NJ,HALEDON PUBLIC SCHOOL DISTRICT,3406450,114,0,0
NJ,HAMBURG SCHOOL DISTRICT,3406480,20,0,0
NJ,HAMILTON TOWNSHIP SCHOOL DISTRICT,3406510,322,0,0
NJ,HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT,3406540,842,161,19.12114014
NJ,HAMMONTON SCHOOL DISTRICT,3406570,319,73,22.88401254
NJ,HAMPTON BOROUGH SCHOOL DISTRICT,3406600,6,2,33.33333333
NJ,HANOVER TOWNSHIP SCHOOL DISTRICT,3406690,177,55,31.07344633
NJ,HARDING TOWNSHIP SCHOOL DISTRICT,3406720,21,7,33.33333333
NJ,HARDYSTON TOWNSHIP SCHOOL DISTRICT,3406780,74,14,18.91891892
NJ,HARRINGTON PARK SCHOOL DISTRICT,3406840,82,28,34.14634146
NJ,HARRISON PUBLIC SCHOOLS,3406870,159,50,31.44654088
NJ,HASBROUCK HEIGHTS SCHOOL DISTRICT,3406930,141,69,48.93617021
NJ,HAWORTH PUBLIC SCHOOL DISTRICT,3406960,52,26,50
NJ,HAWTHORNE PUBLIC SCHOOL DISTRICT,3406990,190,48,25.26315789
NJ,HENRY HUDSON REGIONAL SCHOOL DISTRICT,3407050,59,15,25.42372881
NJ,HIGH BRIDGE BOROUGH SCHOOL DISTRICT,3407110,30,9,30
NJ,HIGHLAND PARK BORO SCHOOL DISTRICT,3407170,103,38,36.89320388
NJ,HILLSBOROUGH TOWNSHIP PUBLIC SCHOOL DISTRICT,3407230,591,271,45.85448393
NJ,HILLSDALE SCHOOL DISTRICT,3407260,128,44,34.375
NJ,HILLSIDE BOARD OF EDUCATION,3407290,251,68,27.09163347
NJ,HO-HO-KUS SCHOOL DISTRICT,3407320,67,33,49.25373134
NJ,HOBOKEN PUBLIC SCHOOL DISTRICT,3407350,100,29,29
NJ,HOLLAND TOWNSHIP SCHOOL DISTRICT,3407380,70,30,42.85714286
NJ,HOLMDEL TOWNSHIP SCHOOL DISTRICT,3407410,249,121,48.59437751
NJ,HOPATCONG BOROUGH SCHOOL DISTRICT,3407440,103,37,35.9223301
NJ,HOPE TOWNSHIP SCHOOL DISTRICT,3407470,15,7,46.66666667
NJ,HOPEWELL TOWNSHIP SCHOOL DISTRICT,3407500,61,22,36.06557377
NJ,HOPEWELL VALLEY REGIONAL SCHOOL DISTRICT,3407530,272,189,69.48529412
NJ,HOWELL TOWNSHIP PUBLIC SCHOOL DISTRICT,3407560,658,232,35.25835866
NJ,HUDSON COUNTY SCHOOLS OF TECHNOLOGY SCHOOL DISTRICT,3407570,16,8,50
NJ,IRVINGTON BOARD OF EDUCATION,3407680,374,62,16.57754011
NJ,JACKSON TOWNSHIP SCHOOL DISTRICT,3407740,713,168,23.56241234
NJ,JAMESBURG PUBLIC SCHOOL DISTRICT,3407770,55,24,43.63636364
NJ,JEFFERSON TOWNSHIP PUBLIC SCHOOL DISTRICT,3407800,237,36,15.18987342
NJ,JERSEY CITY SCHOOL DISTRICT,3407830,1587,402,25.33081285
NJ,KEANSBURG SCHOOL DISTRICT,3407860,97,32,32.98969072
NJ,KEARNY,3407890,437,108,24.71395881
NJ,KENILWORTH SCHOOL DISTRICT,3407920,115,41,35.65217391
NJ,KEYPORT SCHOOL DISTRICT,3407950,61,22,36.06557377
NJ,KINGSWAY REGIONAL SCHOOL DISTRICT,3407980,433,164,37.87528868
NJ,KINGWOOD TOWNSHIP SCHOOL DISTRICT,3408010,48,7,14.58333333
NJ,KINNELON SCHOOL DISTRICT,3408040,176,66,37.5
NJ,KITTATINNY REGIONAL SCHOOL DISTRICT,3408060,180,49,27.22222222
NJ,LACEY TOWNSHIP SCHOOL DISTRICT,3408100,285,91,31.92982456
NJ,LAFAYETTE TOWNSHIP SCHOOL DISTRICT,3408130,30,16,53.33333333
NJ,LAKEHURST SCHOOL DISTRICT,3408160,37,12,32.43243243
NJ,LAKEWOOD TOWNSHIP SCHOOL DISTRICT,3408220,324,52,16.04938272
NJ,LAWNSIDE SCHOOL DISTRICT,3408340,28,17,60.71428571
NJ,LAWRENCE TOWNSHIP SCHOOL DISTRICT,3408370,55,25,45.45454545
NJ,LAWRENCE TOWNSHIP PUBLIC SCHOOL DISTRICT,3408400,298,47,15.77181208
NJ,LEBANON TOWNSHIP SCHOOL DISTRICT,3408460,102,24,23.52941176
